URN,Local Authority name,Establisment name,Easting,Northing,Type of Establishment,Phase of education,NO2 g/m3 mean,Above limit,Parliamentary Constituences,Establishment Status,Close Date
102378,Hillingdon,Field End Junior School,511795,186560,Community School,Primary,29.3,No,Uxbridge and South Ruislip,Open,
102379,Hillingdon,Field End Infant School,511795,186560,Community School,Primary,29.3,No,Uxbridge and South Ruislip,Open,
101839,Croydon,St David's School,530840,161520,Other Independent School,Not applicable,29.3,No,Croydon South,Open,
138771,Hounslow,The St Michael Steiner School,511565,171816,Other Independent School,Not applicable,29.3,No,Feltham and Heston,Open,
131193,Havering,Manor Green College,551922,188320,Pupil Referral Unit,Not applicable,29.2,No,Romford,Closed,8/31/2016
101239,Barnet,St Vincent's Catholic Primary School,523095,192498,Voluntary Aided School,Primary,29.2,No,Barking,Open,
133938,Redbridge,Parkhill Infants' School,543057,189755,Community School,Primary,29.2,No,Ilford North,Open,
133939,Redbridge,Parkhill Junior School,543057,189755,Community School,Primary,29.2,No,Ilford North,Open,
101338,Barnet,Sacred Heart Roman Catholic Primary School,527228,193996,Voluntary Aided School,Primary,29.2,No,Chipping Barnet,Open,
140533,Bromley,Castlecombe Primary School,542250,171446,Academy Converter,Primary,29.2,No,Bromley and Chislehurst,Open,
137633,Hillingdon,Bishopshalt School,506940,182635,Academy Converter,Secondary,29.2,No,Uxbridge and South Ruislip,Open,
102939,Richmond upon Thames,Jack and Jill School,513361,170852,Other Independent School,Not applicable,29.2,No,Twickenham,Open,
101456,Bexley,Our Lady of the Rosary Catholic Primary School,545455,174139,Voluntary Aided School,Primary,29.2,No,Old Bexley and Sidcup,Open,
138983,Hillingdon,Belmore Primary Academy,510973,182641,Academy Sponsor Led,Primary,29.2,No,Hayes and Harlington,Open,
135955,Croydon,Harris Academy Purley,531826,163259,Academy Sponsor Led,Secondary,29.2,No,Croydon South,Open,
102946,Richmond upon Thames,Hampton School,513337,171228,Other Independent School,Not applicable,29.2,No,Twickenham,Open,
101362,Barnet,Finchley Catholic High School,526022,193124,Voluntary Aided School,Secondary,29.2,No,Chipping Barnet,Open,
101437,Bexley,Parkway Primary School,548249,179254,Community School,Primary,29.2,No,Erith and Thamesmead,Open,
102303,Havering,Squirrels Heath Junior School,552912,188781,Community School,Primary,29.2,No,Romford,Open,
102304,Havering,Squirrels Heath Infant School,552912,188781,Community School,Primary,29.2,No,Romford,Open,
102091,Harrow,Earlsmead Primary School,512872,185623,Community School,Primary,29.1,No,Tottenham,Open,
101488,Bexley,Westbrooke School,547605,175798,Community Special School,Not applicable,29.1,No,Bexleyheath and Crayford,Open,
137075,Harrow,Park High School,517685,190370,Academy Converter,Secondary,29.1,No,Harrow East,Open,
102959,Sutton,Barrow Hedges Primary School,527177,163046,Community School,Primary,29.1,No,Carshalton and Wallington,Open,
142295,Bexley,Hillsgrove Primary School,547170,177188,Academy Converter,Primary,29.1,No,Bexleyheath and Crayford,Open,
102849,Redbridge,Caterham High School,542915,190310,Community School,Secondary,29.1,No,Ilford North,Open,
102199,Harrow,Longfield Primary School,513061,188104,Community School,Primary,29.1,No,Harrow West,Open,
102888,Richmond upon Thames,Hampton Infant School and Nursery,513018,170153,Community School,Primary,29.1,No,Twickenham,Open,
102932,Richmond upon Thames,The Lady Eleanor Holles School,513491,171133,Other Independent School,Not applicable,29.1,No,Twickenham,Open,
140710,Bexley,Days Lane Primary School,545899,174138,Academy Converter,Primary,29.1,No,Old Bexley and Sidcup,Open,
137958,Bromley,St James' Roman Catholic Primary School,543870,167619,Academy Converter,Primary,29.1,No,Orpington,Open,
140321,Bexley,Barnehurst Junior School,550235,176683,Academy Converter,Primary,29.1,No,Bexleyheath and Crayford,Open,
136281,Bromley,Kemnal Technology College,546848,170207,Academy Converter,Secondary,29.1,No,Bromley and Chislehurst,Open,
101925,Ealing,St Raphael's Catholic Primary School,510877,183102,Voluntary Aided School,Primary,29.1,No,Ealing North,Open,
101266,Barnet,Church Hill School,527487,194545,Community School,Primary,29.1,No,Chipping Barnet,Open,
139561,Bexley,Hope Community School,547464,171071,Free Schools,Primary,29.1,No,Old Bexley and Sidcup,Open,
102514,Hounslow,Edward Pauling Primary School,509447,172812,Community School,Primary,29.1,No,Feltham and Heston,Open,
101420,Bexley,Bedonwell Junior School,548292,177759,Community School,Primary,29,No,Erith and Thamesmead,Closed,12/31/2016
101421,Bexley,Bedonwell Infant and Nursery School,548292,177759,Community School,Primary,29,No,Erith and Thamesmead,Closed,12/31/2016
101449,Bexley,Barrington Primary School,547665,176046,Community School,Primary,29,No,Bexleyheath and Crayford,Closed,12/31/2016
100483,Harrow,Marlborough Primary School,515062,189176,Community School,Primary,29,No,Chelsea and Fulham,Open,
100936,Hillingdon,Hermitage Primary School,505909,184499,Community School,Primary,29,No,Poplar and Limehouse,Open,
131553,Bromley,Bickley Primary School,541346,168987,Community School,Primary,29,No,Bromley and Chislehurst,Open,
101403,Bexley,Danson Primary School,546456,175254,Community School,Primary,29,No,Bexleyheath and Crayford,Open,
102569,Kingston upon Thames,Green Lane Primary and Nursery School,522843,166835,Community School,Primary,29,No,Sutton and Cheam,Open,
136785,Sutton,Cheam High School,524151,164535,Academy Converter,Secondary,29,No,Sutton and Cheam,Open,
101451,Bexley,Foster's Primary School,547493,175925,Voluntary Controlled School,Primary,29,No,Bexleyheath and Crayford,Open,
102904,Richmond upon Thames,Buckingham Primary School,512947,171078,Community School,Primary,29,No,Twickenham,Open,
141764,Kingston upon Thames,Castle Hill Primary School,518673,164299,Academy Converter,Primary,29,No,Kingston and Surbiton,Open,
102439,Hillingdon,Hayes Park School,509632,182266,Foundation School,Primary,29,No,Hayes and Harlington,Open,
136709,Bromley,Bullers Wood School,542533,169755,Academy Converter,Secondary,29,No,Bromley and Chislehurst,Open,
102430,Hillingdon,Oak Farm Infant School,507730,183934,Foundation School,Primary,29,No,Uxbridge and South Ruislip,Open,
102431,Hillingdon,Oak Farm Junior School,507730,183934,Foundation School,Primary,29,No,Uxbridge and South Ruislip,Open,
101823,Croydon,Coloma Convent Girls' School,535681,165164,Voluntary Aided School,Secondary,29,No,Croydon Central,Open,
135535,Enfield,Brimsdown Primary School,536016,196954,Community School,Primary,29,No,Enfield North,Open,
133317,Harrow,Kingsley High School,514316,191068,Community Special School,Not applicable,29,No,Harrow East,Open,
138611,Bromley,Crofton Infant School,544822,166769,Academy Converter,Primary,29,No,Orpington,Open,
